user_id,cluster_id,movie_id,likes,dislikes
101,7,1438,"{'Mystery Elements': 'Engaging plot with magical transformations.', 'Romantic Themes': 'Potential for romantic subplots.', 'Adventure Quest': 'Exciting journey to save family and kingdom.', 'Strong Female Lead': 'Tenacious princess protagonist resonates well.', 'Familiar Cast': 'Well-known actors add credibility.'}","{'Complex Plot': 'May require more time to understand.', 'Thriller Intensity': 'High-stakes action might be overwhelming.', 'Fantasy Setting': 'Not everyone enjoys fantasy worlds.'}"
101,7,1562,"{'Young Characters': 'Characters are young and relatable.', 'Forbidden Love': 'Themes of forbidden romance appeal.', 'Drama Genre': 'Prefers dramatic storytelling.', 'Romance Elements': 'Enjoys romantic plot elements.'}","{'Feuding Families': 'May find family conflicts less engaging.', 'Historical Setting': 'Modern setting preferences possible.', 'Shakespearean Adaptation': 'May prefer contemporary adaptations.'}"
101,7,1801,"{'Comedy Genre': 'Humorous content', 'Bar Setting': 'Casual atmosphere', 'Young Cast': 'Relatable characters', 'Las Vegas': 'Enticing location'}","{'Body Disposal': 'Dark theme', 'Violence': 'Gore elements', 'Risk-taking': 'High stakes plot'}"
101,7,2421,"{'Postwar Setting': 'Reflects historical interest', 'Mystery Genre': 'Engaging plot', 'Thriller Elements': 'Exciting atmosphere', 'Complex Characters': 'Depth in storytelling', 'Classic Film': 'Timeless quality'}","{'Shadowy Atmosphere': 'Potentially unsettling', 'Investigative Plot': 'May be complex', 'Ambiguous Ending': 'Unclear resolution', 'Foreign Language': 'Subtitles required', 'Male Cast': 'Limited female presence'}"
101,7,2524,"{'Crime Genre': 'Engaging storyline', 'Thriller Elements': 'Exciting plot twists', 'Male Lead': ""Harvey Keitel's performance"", 'Revenge Plot': 'Compelling narrative'}","{'Retired Thief': 'Unfamiliar character type', 'Loot Focus': 'Overemphasis on stolen goods', 'Multiple Cast': 'Too many supporting roles', 'Director Choice': 'Less known director'}"
101,7,2735,"{'Animation': 'Entertaining visual style', 'Humor': 'Wacky and funny scenarios', 'Family': 'Relatable characters'}","{'Drama': 'Potentially serious tone', 'Complexity': 'Lack of depth', 'Predictability': 'Frequent cliches'}"
101,7,2794,"{'Action Genre': 'High-energy combat scenes', 'Male Lead': 'Strong, determined protagonist', 'Boxing Theme': 'Intrigue around boxing world'}","{'Fiancée Character': 'Potentially unlikable romantic interest', 'Suspect Plot': 'Complex interpersonal dynamics', 'Director Choice': 'Unique but polarizing style'}"
101,7,3208,"{'Action Thriller': 'Highly engaging plot', 'Elite Team': 'Exciting characters', 'Drug Cartel': 'Relevant themes', 'Male Cast': 'Strong lead actors', 'Suspenseful': 'Keeps audience interested'}","{'Limited Female Roles': 'Fewer female characters', 'Complex Plot': 'Potentially confusing story', 'Dark Themes': 'Heavy subject matter'}"
101,7,3397,"{'Action': 'Fast-paced scenes', 'Adventure': 'Exciting quests', 'Comedy': 'Humorous moments', 'Romance': 'Cute chemistry', 'Michael Douglas': 'Charismatic lead', 'Kathleen Turner': 'Stunning performances'}","{'Danny DeVito': 'Over-the-top acting', 'Spyros Fokas': 'Minor character presence', 'Avner Eisenberg': 'Limited screen time'}"
101,7,376,"{'Western Genre': 'Action-packed adventure', 'Heroic Action': 'Desperate heroism appeal', 'Romance': 'Incorporates emotional depth'}","{'Pacing': 'Potentially slow for younger audience', 'Complexity': 'Historical context may be challenging', 'Male Cast': 'Limited female presence'}"
101,7,546,"{'Drama Genre': 'Engaging emotional narratives', 'Romance Elements': 'Heartwarming love stories', 'Italian Setting': 'Cultural authenticity', 'Character Development': 'Deeply relatable characters'}","{'Missing Writer': 'Lack of directorial credits', 'Limited Cast': 'Fewer notable actors', 'Storyline Unavailable': 'Inadequate plot description'}"
101,7,552,"{'Comedy Elements': 'Humorous and relatable scenes', 'Family Theme': 'Story involving family dynamics', 'Sports Setting': 'Soccer coaching context', 'Will Ferrell': 'Entertaining lead actor', 'Character Growth': ""Phil's personal development arc""}","{'Drama Intensity': 'Potentially heavy emotional moments', 'Robert Duvall': 'Might not appeal to younger audience', 'Competitive Nature': 'Overemphasis on rivalry', 'Parental Influence': 'Negative portrayal of father figure'}"
102,0,2070,"{'Stop Motion': 'Animated visuals', 'Adventure': 'Exciting plot', ""Children's"": 'Engaging story'}","{'Small Characters': 'Unrelatable protagonist', 'Kid Themes': 'Not mature enough', 'Lab Setting': 'Potentially scary'}"
102,0,24,"{'Male Lead': 'Nicolas Cage portrayal', 'Dramatic Themes': 'Alcoholism impact', 'Emotional Journey': 'Character development', 'Realistic Setting': 'Las Vegas backdrop', 'Dark Romance': 'Unconventional love story'}","{'Pacing Issues': 'Potential slow scenes', 'Predictable Plot': 'Common tropes', 'Limited Scope': 'Focussed on two characters', 'Complex Characters': 'Depth may be overwhelming', 'Sombre Tone': 'Heavy emotional weight'}"
102,0,2416,"{'China Focus': ""Explores China's EV dominance"", 'Environmental Impact': 'Addresses environmental concerns', 'Cybersecurity Concerns': 'Includes cybersecurity issues'}","{'Action Genre': 'May not align with interests', 'Western Genre': 'Mismatch with expected themes'}"
102,0,3189,"{'Age Group': 'Content suitable for adults', 'Gender': 'Male protagonist', 'Occupation': 'Poetry focus', 'Director': 'Robert Bierman', 'Cast': 'Famous actors', 'Genre': 'Comedy', 'Writers': 'George Orwell'}","{'Plot': 'Realistic portrayal', 'Genre': 'Not drama'}"
102,0,3548,"{'Male Lead': 'Bruce Willis presence', 'Complex Plot': 'Robbery and romance', 'Strong Cast': 'Cate Blanchett involvement', 'Dramatic Genre': 'Emotional depth'}","{'Unemployed Theme': 'Potentially relatable but not aspirational', 'Kidnapping': 'Violent scenario', 'Limited Action': 'Not high-energy', 'Romantic Elements': 'Might seem forced'}"
102,0,3791,"{'Action': 'Engaging genre', 'War': 'Stimulating theme'}","{'Plot': 'Deranged and unrealistic', 'Cast': 'Lacks star power', 'Director': 'Limited appeal'}"
102,0,3798,"{'Action': 'Fast-paced scenes', 'Horror': 'Thrilling elements', 'Thriller': 'Exciting plot twists'}","{'Ambassador Role': 'Uninteresting protagonist role', 'Love Plot': 'Irrelevant to main action', 'Sultan Mission': 'Superfluous backstory'}"
102,0,3915,"{'Male Lead': 'Sean Connery', 'Action Genre': 'Thrilling plot', 'Espionage Plot': 'Spy intrigue'}","{'Cold War': 'Historical context', 'Space Program': 'Scientific elements', 'Female Lead': 'Ursula Andress'}"
102,0,906,"{'Action': 'Fast-paced excitement', 'Adventure': 'Exciting plot twists', 'Thriller': 'Intensity and suspense', 'Cast': 'Star-studded performances', 'Director': ""Michael Bay's style""}","{'Nerve Gas': 'Potentially disturbing theme', 'Military': 'Overly militaristic elements', 'Rogue Group': 'Predictable antagonist', 'San Francisco': 'Location may not resonate'}"
102,0,928,"{'Biography': 'Documentary style preferred', 'Drama': 'Interest in historical figures', 'Latin': 'Cultural appeal', 'Entertainment': 'Broadway and Hollywood era', 'Music': ""Singer's career""}","{'Non-fiction': 'Prefer factual storytelling', 'Silent': 'Modern dialogue preferred', 'Short': 'Detailed life span covered', 'Complex': 'Straightforward narrative appreciated', 'Unrealistic': 'True story portrayal'}"
102,0,930,"{'Male Lead': 'Charisma appealing', 'Media Critique': 'Insightful commentary', 'Dramatic Plot': 'Engaging storyline'}","{'Setting Specificity': 'Limited geographic appeal', 'Character Motivation': 'Questionable ethics', 'Pace Slow': 'Potentially tedious'}"
102,0,931,"{'Artistic Work': 'Focuses on renowned artist', 'Monuments': 'Involves significant memorials', 'Documentary Style': 'Educational and informative content'}","{'Specificity': 'Limited to one artist', 'Emotional Depth': 'Potentially lacks emotional storytelling', 'Entertainment Value': 'May not be highly entertaining'}"
102,1,2206,"{'Mystery Genre': 'Engaging plot twists', 'Thriller Elements': 'High-stakes action sequences', 'Local Setting': 'Bayou environment', 'Strong Male Lead': 'Hardened cop protagonist'}","{'Complex Plot': 'Potentially confusing narrative', 'Violence': 'Vicious threats and crashes', 'Emotional Tension': 'Threats to family'}"
102,1,2333,"{'Thriller Genre': 'Engaging plot elements', 'Cast Quality': 'Strong performances', 'Directorial Style': ""Amy Holden Jones' direction""}","{'Plot Complexity': 'Overly convoluted narrative', 'Character Motivation': 'Unclear intentions', 'Pacing Issues': 'Slow moving scenes'}"
